id,original_title,popularity,release_date,title,vote_average,vote_count,month,day_of_week
44609,Mono: Holy Ground,0.654,2010-01-01,Mono: Holy Ground,5.3,2,1,Friday
38533,Patent Absurdity,0.654,2010-04-24,Patent Absurdity,5.3,2,4,Saturday
35397,Sands of Fire - Part One,0.654,2010-03-28,Sands of Fire - Part One,5.3,2,3,Sunday
41361,The Gold Retrievers,0.654,2010-07-06,The Gold Retrievers,5.0,2,7,Tuesday
61170,Symbolic - The Ultimate Death Tribute,0.654,2010-01-01,Symbolic - The Ultimate Death Tribute,4.8,2,1,Friday
56703,Pretenders - Live in London,0.654,2010-02-09,Pretenders - Live in London,4.8,2,2,Tuesday
437834,The Guest,0.654,2010-08-21,The Guest,4.5,2,8,Saturday
284569,The Cow Who Wanted To Be a Hamburger,0.654,2010-03-12,The Cow Who Wanted To Be a Hamburger,4.5,2,3,Friday
79851,Loving Lampposts,0.654,2010-05-28,Loving Lampposts,4.5,2,5,Friday
71903,24 Hours After Hiroshima,0.654,2010-04-05,24 Hours After Hiroshima,4.5,2,4,Monday
49528,American Jihadist,0.654,2010-01-01,American Jihadist,4.5,2,1,Friday
277365,Why Lie? I Need a Drink,0.654,2010-11-16,Why Lie? I Need a Drink,4.3,2,11,Tuesday
85939,Blondie: 2010 Isle Of Wight Festival,0.654,2010-06-12,Blondie: 2010 Isle Of Wight Festival,4.3,2,6,Saturday
80396,No Fun City,0.654,2010-10-11,No Fun City,4.3,2,10,Monday
61162,Obituary: Live Xecution,0.654,2010-01-01,Obituary: Live Xecution,4.3,2,1,Friday
45917,Donnell Rawlings: From Ashy to Classy,0.654,2010-09-14,Donnell Rawlings: From Ashy to Classy,4.3,2,9,Tuesday
45370,Megadeth: Rust in Peace Live,0.654,2010-09-07,Megadeth: Rust in Peace Live,4.3,2,9,Tuesday
50290,The Pact,0.654,2010-09-20,The Pact,4.0,2,9,Monday
102122,"Time's Up, Eve",0.654,2010-10-12,"Time's Up, Eve",3.5,2,10,Tuesday
175388,Apart,0.654,2010-03-08,Apart,3.0,2,3,Monday
58206,Half Moon,0.654,2010-10-01,Half Moon,3.0,2,10,Friday
149733,Flatline,0.654,2010-01-01,Flatline,1.5,2,1,Friday
85474,Ne change rien,0.653,2010-11-03,Change Nothing,8.5,2,11,Wednesday
51075,National Geographic: Collapse,0.639,2010-09-18,2210: The Collapse?,7.0,1,9,Saturday
28397,Empusa,0.634,2010-05-01,Empusa,6.0,1,5,Saturday
441356,The Perfect Gentleman,0.633,2010-09-16,The Perfect Gentleman,6.0,1,9,Thursday
33249,For Love of Liberty: The Story of America's Black Patriots,0.629,2010-01-01,For Love of Liberty: The Story of America's Black Patriots,8.0,1,1,Friday
124754,Bullet For My Valentine Rock AM Ring,0.628,2010-07-04,Bullet For My Valentine Rock AM Ring,10.0,1,7,Sunday
62681,Новогодний детектив,0.628,2010-12-20,Novogodniy Detektiv,7.0,1,12,Monday
274041,Painéis de São Vicente de Fora: Visão Poética,0.628,2010-09-21,The Panels of São Vicente de Fora: A Poetic Vision,6.0,1,9,Tuesday
135175,Alejandro Sanz - Canciones Para Un Paraiso En Vivo,0.628,2010-07-05,Alejandro Sanz - Canciones Para Un Paraiso En Vivo,6.0,1,7,Monday
67108,"Je T'aime, I Love You Terminal",0.628,2010-01-01,"Je T'aime, I Love You Terminal",6.0,1,1,Friday
48307,Saint Misbehavin': The Wavy Gravy Movie,0.628,2010-12-08,Saint Misbehavin': The Wavy Gravy Movie,6.0,1,12,Wednesday
360508,Sitting,0.628,2010-09-19,Sitting,5.0,1,9,Sunday
333926,Online Crush,0.628,2010-01-01,Online Crush,1.0,1,1,Friday
99948,Treacherous,0.628,2010-07-16,Treacherous,1.0,1,7,Friday
91443,Chronic Town,0.626,2008-04-03,Chronic Town,6.0,1,4,Thursday
522644,Luther Allison: Songs from the Road,0.624,2010-01-01,Luther Allison: Songs from the Road,10.0,1,1,Friday
467923,A Certified Man,0.624,2010-12-16,A Certified Man,10.0,1,12,Thursday
467167,Jealous Jerzy,0.624,2010-07-16,Jealous Jerzy,10.0,1,7,Friday
414955,Cirque de Chine,0.624,2010-01-01,Cirque de Chine,10.0,1,1,Friday
141945,Swing,0.624,2010-03-02,Swing,10.0,1,3,Tuesday
80686,Oasis: Time Flies 1994-2009,0.624,2010-06-09,Oasis: Time Flies 1994-2009,10.0,1,6,Wednesday
65411,March of The Living,0.624,2010-09-24,March of The Living,10.0,1,9,Friday
51732,True Champion: The Johnny Campbell Story,0.624,2010-08-01,True Champion: The Johnny Campbell Story,10.0,1,8,Sunday
62381,Human resources: Social engineering in the 20th century,0.624,2010-12-01,Human resources: Social engineering in the 20th century,9.5,1,12,Wednesday
325303,Umkhungo,0.624,2010-01-01,The Gift,9.0,1,1,Friday
155102,Kathy Griffin: Whores on Crutches,0.624,2010-11-02,Kathy Griffin: Whores on Crutches,9.0,1,11,Tuesday
45644,Opeth: In Live Concert At The Royal Albert Hall,0.624,2010-09-21,Opeth: In Live Concert At The Royal Albert Hall,8.4,9,9,Tuesday
433335,Servants of Mercy,0.624,2010-01-01,Servants of Mercy,8.0,1,1,Friday
270025,Uncle Bob,0.624,2010-06-26,Uncle Bob,8.0,1,6,Saturday
264399,Crater Face,0.624,2010-05-02,Crater Face,8.0,1,5,Sunday
71170,Enemy of The State: Camp FEMA Part 2,0.624,2010-11-02,Enemy of The State: Camp FEMA Part 2,7.5,1,11,Tuesday
460656,A Lost and Found Box of Human Sensation,0.624,2010-06-25,A Lost and Found Box of Human Sensation,7.0,1,6,Friday
436941,Fighting Fish,0.624,2010-04-20,Fighting Fish,7.0,1,4,Tuesday
342496,Touch,0.624,2010-03-29,Touch,7.0,1,3,Monday
332457,The Yellow Bank,0.624,2010-01-01,The Yellow Bank,7.0,1,1,Friday
291626,Naked Trip,0.624,2010-04-10,Naked Trip,7.0,1,4,Saturday
291129,My Sex Robot,0.624,2010-09-07,My Sex Robot,7.0,1,9,Tuesday
271735,Daddy I Do,0.624,2010-01-14,Daddy I Do,7.0,1,1,Thursday
168543,Trading on Thin Air,0.624,2010-01-01,Trading on Thin Air,7.0,1,1,Friday
136043,"No Woman, No Cry",0.624,2010-04-24,"No Woman, No Cry",7.0,1,4,Saturday
103744,Forged,0.624,2010-07-31,Forged,7.0,1,7,Saturday
93251,Jelly,0.624,2010-01-23,Jelly,7.0,1,1,Saturday
84380,Dio: The Legend Live,0.624,2010-12-28,Dio: The Legend Live,7.0,1,12,Tuesday
373975,The Real Story of Christmas,0.624,2010-12-01,The Real Story of Christmas,6.5,1,12,Wednesday
75050,Sacred Earth,0.624,2010-01-25,Sacred Earth,6.5,1,1,Monday
579150,"Mountains That Take Wing: Angela Davis & Yuri Kochiyama- A Conversation on Life, Struggles, and Liberation",0.624,2010-06-17,"Mountains That Take Wing: Angela Davis & Yuri Kochiyama- A Conversation on Life, Struggles, and Liberation",6.0,1,6,Thursday
438346,Works of Art,0.624,2010-01-02,Works of Art,6.0,1,1,Saturday
428478,Unrequited Love,0.624,2010-05-06,Unrequited Love,6.0,1,5,Thursday
353155,STRONGHOLD: In the Grip of Wrestling,0.624,2009-10-18,STRONGHOLD: In the Grip of Wrestling,6.0,1,10,Sunday
100689,Swine,0.624,2010-01-01,Swine,6.0,1,1,Friday
85465,Seducing Charlie Barker,0.624,2010-03-27,Seducing Charlie Barker,6.0,1,3,Saturday
61028,Candlemass - Ashes To Ashes,0.624,2010-06-29,Candlemass - Ashes To Ashes,6.0,1,6,Tuesday
59982,Meeting Spencer,0.624,2010-01-01,Meeting Spencer,6.0,1,1,Friday
49059,(Astro) Turf Wars,0.624,2010-10-16,(Astro) Turf Wars,6.0,1,10,Saturday
279774,Sedona's Rule,0.624,2010-11-01,Sedona's Rule,5.5,1,11,Monday
72157,Madeline's Christmas,0.624,2010-10-19,Madeline's Christmas,5.5,1,10,Tuesday
424522,Future So Bright,0.624,2010-10-02,Future So Bright,5.0,1,10,Saturday
386357,Tokoloshe,0.624,2010-11-11,Tokoloshe,5.0,1,11,Thursday
345350,Irma,0.624,2010-10-10,Irma,5.0,1,10,Sunday
176690,Bummer Summer,0.624,2010-01-02,Bummer Summer,5.0,1,1,Saturday
144907,Tetherball: The Movie,0.624,2010-01-01,Tetherball: The Movie,5.0,1,1,Friday
132281,The Dead Sleep,0.624,2010-01-01,The Dead Sleep,5.0,1,1,Friday
101576,Gravity was everywhere back then,0.624,2010-05-10,Gravity was everywhere back then,5.0,1,5,Monday
81584,Scrappers,0.624,2010-01-01,Scrappers,5.0,1,1,Friday
81224,Breaking the Press,0.624,2010-05-01,Breaking the Press,5.0,1,5,Saturday
44312,Kick Off,0.624,2010-02-11,Kick Off,5.0,1,2,Thursday
96220,La isla interior,0.624,2010-04-09,The Island Inside,4.5,1,4,Friday
150785,Bikini Royale 2,0.624,2010-01-18,Bikini Royale 2,4.0,1,1,Monday
135878,Iodine,0.624,2010-04-09,Iodine,4.0,1,4,Friday
69246,Asfaltenglene,0.624,2010-02-26,Asfaltenglene,4.0,1,2,Friday
301382,The Maniac Project,0.624,2010-09-21,The Maniac Project,3.0,1,9,Tuesday
61033,Armless,0.624,2010-01-22,Armless,3.0,1,1,Friday
439198,Remove All Obstacles,0.624,2010-12-11,Remove All Obstacles,2.0,1,12,Saturday
230997,Do Not Disturb,0.624,2010-01-01,Do Not Disturb,2.0,1,1,Friday
211400,Zombie Bankers,0.624,2010-02-02,Zombie Bankers,2.0,1,2,Tuesday
156704,Blood Pigs,0.624,2010-10-15,Blood Pigs,2.0,1,10,Friday
89887,3 Magic Words,0.624,2010-12-30,3 Magic Words,2.0,1,12,Thursday
49904,Circle of Fury,0.624,2010-09-14,Circle of Fury,2.0,1,9,Tuesday
416720,Alien Vengeance II: Rogue Element,0.624,2010-11-07,Alien Vengeance II: Rogue Element,1.0,1,11,Sunday
318376,Bold & Fresh Tour 2010,0.624,2010-01-30,Bold & Fresh Tour 2010,1.0,1,1,Saturday
69937,Consinsual,0.624,2010-06-24,Consinsual,1.0,1,6,Thursday
63901,"Vzroslaya Doch, ili Test na...",0.624,2010-11-11,Big Daughter or a Test for...,1.0,1,11,Thursday
201068,The Suspect,0.622,2010-05-16,The Suspect,7.0,1,5,Sunday
34209,Just Like the Son,0.622,2006-04-29,Just Like the Son,7.0,1,4,Saturday
62624,Tony Bennett - Wonderful World: Live In San Francisco,0.621,2010-12-10,Tony Bennett - Wonderful World: Live In San Francisco,7.5,1,12,Friday
54105,Immigration Tango,0.616,2010-04-17,Immigration Tango,4.8,4,4,Saturday
63236,La soga,0.614,2010-08-13,The Butcher's Son,5.8,9,8,Friday
314226,The Modifyers,0.601,2010-02-09,The Modifyers,8.5,2,2,Tuesday
602968,Fairview St.,0.6,2010-02-18,Fairview St.,10.0,1,2,Thursday
602751,The Spirit of Isabel,0.6,2010-10-22,The Spirit of Isabel,10.0,1,10,Friday
597717,The Making of 'Scott Pilgrim vs. the World',0.6,2010-11-09,The Making of 'Scott Pilgrim vs. the World',10.0,1,11,Tuesday
570081,U2360° Tour: Squaring The Circle,0.6,2010-07-05,U2360° Tour: Squaring The Circle,10.0,1,7,Monday
567132,Restoring a Masterpiece: The Renovation of Eastman Theatre,0.6,2010-04-13,Restoring a Masterpiece: The Renovation of Eastman Theatre,10.0,1,4,Tuesday
560533,そらのおとしもの プロジェクト,0.6,2010-12-20,Heaven's Lost Property: Project Pink,10.0,1,12,Monday
512958,Shark Fights 13: Jardine vs Prangley,0.6,2010-09-11,Shark Fights 13: Jardine vs Prangley,10.0,1,9,Saturday
511015,Therapissed,0.6,2010-04-22,Therapissed,10.0,1,4,Thursday
505037,Alone on the Wall,0.6,2010-01-01,Alone on the Wall,10.0,1,1,Friday
490641,Monsters and Mysteries in Alaska,0.6,2010-03-14,Monsters and Mysteries in Alaska,10.0,2,3,Sunday
467804,Lines of Glory,0.6,2009-12-05,Lines of Glory,10.0,1,12,Saturday
456989,Urbanites - You Can't Rewind The Years,0.6,2010-04-23,Urbanites - You Can't Rewind The Years,10.0,1,4,Friday
450775,The Everyday Guide to Wine,0.6,2010-04-05,The Everyday Guide to Wine,10.0,1,4,Monday
432368,Soul Train: The Hippest Trip in America,0.6,2010-02-05,Soul Train: The Hippest Trip in America,10.0,1,2,Friday
415043,Disneyland Resort: Behind The Scenes,0.6,2010-01-01,Disneyland Resort: Behind The Scenes,10.0,1,1,Friday
411203,Prisoner of Her Past,0.6,2010-02-12,Prisoner of Her Past,10.0,1,2,Friday
370938,The Purest Blue,0.6,2010-01-01,The Purest Blue,10.0,1,1,Friday
368279,At Ease,0.6,2010-10-21,At Ease,10.0,1,10,Thursday
353842,Ebony Goddess: Queen of Ilê Aiyê,0.6,2010-01-21,Ebony Goddess: Queen of Ilê Aiyê,10.0,1,1,Thursday
348797,Evil Intent,0.6,2010-12-01,Evil Intent,10.0,1,12,Wednesday
345871,Texas Frightmare Massacre,0.6,2010-04-30,Texas Frightmare Massacre,10.0,1,4,Friday
339293,All Time Low: Straight to DVD,0.6,2010-05-25,All Time Low: Straight to DVD,10.0,1,5,Tuesday
337819,OVW - Future Shock 2,0.6,2010-07-31,OVW - Future Shock 2,10.0,1,7,Saturday
329754,Boondockers 7,0.6,2010-01-01,Boondockers 7,10.0,1,1,Friday
321287,A Requiem For Bobby Fischer,0.6,2010-04-10,A Requiem For Bobby Fischer,10.0,1,4,Saturday
312575,Apocalypse Africa: Made in America,0.6,2010-11-08,Apocalypse Africa: Made in America,10.0,1,11,Monday
306181,"UFOs 1973: Aliens, Abductions and Extraordinary Sightings",0.6,2010-10-26,"UFOs 1973: Aliens, Abductions and Extraordinary Sightings",10.0,1,10,Tuesday
297080,The Science of Disney Imagineering: Electricity,0.6,2010-01-01,The Science of Disney Imagineering: Electricity,10.0,1,1,Friday
277318,Living Without Money,0.6,2010-11-26,Living Without Money,10.0,1,11,Friday
275301,Endings,0.6,2010-11-11,Endings,10.0,1,11,Thursday
269640,To Die is Hard,0.6,2010-01-01,To Die is Hard,10.0,1,1,Friday
269130,Prayer to a Vengeful God,0.6,2010-01-01,Prayer to a Vengeful God,10.0,1,1,Friday
253435,80 Waves,0.6,2010-06-21,80 Waves,10.0,1,6,Monday
205989,The President's Photographer: Fifty Years Inside the Oval Office,0.6,2010-11-24,The President's Photographer: Fifty Years Inside the Oval Office,10.0,1,11,Wednesday
202069,Sudden Death!,0.6,2010-07-25,Sudden Death!,10.0,1,7,Sunday
201964,The A-Word,0.6,2010-12-31,The A-Word,10.0,1,12,Friday
201620,The Soul of Things,0.6,2010-09-01,The Soul of Things,10.0,1,9,Wednesday
